DATAFLOW,LAST UPDATE,freq,unit,indic_nrg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1991-11,168.92,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1991-12,247.02,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1992-01,316.05,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1992-02,217.63,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1992-03,139.56,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1992-04,98.94,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1992-05,23.40,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1992-06,24.64,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1992-07,0.14,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1992-08,1.29,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1992-09,9.23,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1992-10,88.85,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1992-11,113.70,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1992-12,224.14,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1993-01,277.81,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1993-02,203.40,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1993-03,160.65,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1993-04,144.63,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1993-05,64.26,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1993-06,5.57,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1993-07,1.17,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1993-08,1.61,
ESTAT:NRG_CHDD_M(1.0),11/05/22 23:00:00,M,NR,HDD,PT,1993-09,25.65,
